series_id,n,bias,rmse,mae
76,381,1.5289845324919493,1.5332359919249436,1.5289845324919493
77,237,-0.3486384460540589,0.35151029807671064,0.34863844605405886
78,333,-0.8730677395412528,0.8839253351503831,0.8730677395412526
79,404,2.7407634854054117,2.741981597697096,2.7407634854054117
80,333,1.3146493939720247,1.315117903145185,1.3146493939720247
81,585,-1.6685806822479714,1.6751731100562692,1.6685806822479716
82,501,-0.10499160796679301,0.14680331234682667,0.13497828269429812
83,153,-2.667413949310082,2.676589303273854,2.6674139493100815
84,237,-0.4438973549594359,0.4459348647841299,0.4438973549594359
85,451,2.4130213723993985,2.4271996890661636,2.413021372399399
86,248,0.4624440838044647,0.54758845066142,0.4624440838044648
87,248,-2.7078762073555858,2.7117395397385753,2.7078762073555858
88,259,-0.9983814357962197,1.0001901214840694,0.9983814357962197
89,441,-0.9228221702123031,0.9282429344373984,0.922822170212303
90,189,-1.3110396270130065,1.311672525640094,1.3110396270130065
91,477,3.08810004876405,3.089515578450038,3.08810004876405
92,726,-6.138535474496139,6.141012531150476,6.1385354744961385
93,415,-0.05156268135089917,0.2153497844356563,0.17465896680640577
94,391,5.723144282709761,5.725794446101112,5.723144282709761
95,283,-0.5781330844786426,0.5795567675272738,0.5781330844786426
96,416,-1.2751300699416817,1.2760823784473858,1.2751300699416817
97,225,2.139329748748049,2.141982340250199,2.139329748748049
98,284,2.6069358363220365,2.612627272289957,2.6069358363220365
99,152,-0.005447606884907564,0.1283417165828043,0.10632760134046575
100,224,-5.039544973002357,5.041233995428841,5.039544973002356
101,343,0.5230459521212153,0.5309519484003714,0.5230459521212153
102,93,0.7502134120557884,0.7539630861169954,0.7502134120557884
103,211,1.3965281572377957,1.3973992873900811,1.3965281572377957
104,381,8.607525916256462,8.610773695844355,8.607525916256463
105,284,-1.7111813146084585,1.7130342722969152,1.7111813146084582
106,511,0.8638474803867312,0.907145943125675,0.8643212962266462
107,236,-0.24509589377756597,0.26502415569393944,0.24509589377756597
108,415,-1.6592204259374312,1.6599962011867468,1.6592204259374312
109,259,-1.2389241436247809,1.2421063238057333,1.2389241436247809
110,57,-0.09970007980172084,0.10682215593778403,0.09970007980172084
111,357,1.1045784729123365,1.1068952796623839,1.1045784729123367
112,344,0.3129467014800134,0.32532874461029265,0.31294670148001336
113,117,0.44168870204732275,0.4464744091763729,0.44168870204732275
114,439,1.4976338675389627,1.4995518916348705,1.4976338675389624
115,379,-1.1485528613607405,1.1580127475060704,1.1485528613607405
116,368,-2.3884205221684702,2.391646582570824,2.3884205221684702
117,368,-1.2834844141325645,1.2850774247790233,1.2834844141325643
118,426,0.2548656582998933,0.2882802581741446,0.25845892862400943
119,475,-1.4989775573350776,1.5029519131149287,1.4989775573350776
120,415,0.4886361406117188,0.5052880372883777,0.4886361406117188
121,261,2.0893324829975954,2.0984346282385737,2.089332482997596
122,1486,-1.036102177630136,1.0451215409883898,1.036102177630136
123,345,-5.2593670915997714,5.269020578591969,5.2593670915997714
124,81,-1.7203937771679765,1.7219424744417953,1.7203937771679765
125,309,-1.0554821247829085,1.0622982210210308,1.0554821247829083
126,332,1.233237338114549,1.2415992328433874,1.233237338114549
127,297,-0.7184326466200525,0.7248215802221614,0.7184326466200525
128,525,9.044805440473548,9.076644586649843,9.044805440473548
129,393,-0.5083301810721979,0.5459875127743113,0.5083301810721979
130,453,3.1775056355630014,3.183147512221516,3.1775056355630014
131,380,-0.6610376674926834,0.667170670820042,0.6610376674926834
133,357,-1.9044848941360686,1.9062346601823847,1.9044848941360686
134,321,-0.4035504677097256,0.4105057115576038,0.4035504677097255
